# ITU ICT Development Index (IDI) 2023
# Source: International Telecommunication Union (itu.int/en/ITU-D/Statistics/Pages/IDI)
# idi_score: 0-100 composite (infrastructure, use, skills)
# cyber_tier: Tier 1 (>80), Tier 2 (60-80), Tier 3 (40-60), Tier 4 (<40)
iso3,country_name,year,idi_score,global_rank,cyber_tier
DNK,Denmark,2023,96.0,1,1
KOR,South Korea,2023,94.6,2,1
ISL,Iceland,2023,94.0,3,1
GBR,United Kingdom,2023,92.5,5,1
NLD,Netherlands,2023,92.3,6,1
SWE,Sweden,2023,92.8,4,1
FIN,Finland,2023,91.5,7,1
NOR,Norway,2023,91.0,8,1
AUS,Australia,2023,88.5,12,1
JPN,Japan,2023,87.2,14,1
USA,United States,2023,87.0,15,1
DEU,Germany,2023,84.0,20,1
FRA,France,2023,83.5,22,1
CAN,Canada,2023,85.2,18,1
ESP,Spain,2023,81.0,28,1
ISR,Israel,2023,83.0,23,1
CHN,China,2023,71.5,50,2
RUS,Russia,2023,72.8,45,2
TUR,Turkey,2023,74.5,40,2
SAU,Saudi Arabia,2023,79.0,32,2
QAT,Qatar,2023,80.5,30,2
ARE,UAE,2023,81.0,27,2
BRA,Brazil,2023,67.0,63,2
MEX,Mexico,2023,60.5,80,2
ARG,Argentina,2023,66.0,65,2
IND,India,2023,55.0,100,3
UKR,Ukraine,2023,64.0,70,2
IRN,Iran,2023,60.2,82,3
IDN,Indonesia,2023,58.0,93,3
VNM,Vietnam,2023,62.0,75,2
PHL,Philippines,2023,57.0,96,3
PAK,Pakistan,2023,40.0,138,3
NGA,Nigeria,2023,35.0,148,4
ETH,Ethiopia,2023,22.0,178,4
MLI,Mali,2023,21.5,180,4
NER,Niger,2023,19.0,183,4
BFA,Burkina Faso,2023,22.0,177,4
YEM,Yemen,2023,15.0,185,4
PRK,North Korea,2023,18.0,182,4
AFG,Afghanistan,2023,20.0,181,4
