# Kiel Institute Ukraine Support Tracker (ifw-kiel.de/ukraine-support-tracker)
# Source: Ukraine Support Tracker Release 21 (March 2025)
# Values in EUR billions (committed + delivered combined)
# data_period: 2022-01 ~ 2024-12
donor_iso3,donor_name,military_eur_bn,financial_eur_bn,humanitarian_eur_bn,total_eur_bn,data_period
USA,United States,64.20,43.80,3.10,111.10,2022-01~2024-12
DEU,Germany,22.40,18.20,3.20,43.80,2022-01~2024-12
GBR,United Kingdom,15.90,6.40,1.60,23.90,2022-01~2024-12
NOR,Norway,10.20,6.10,1.00,17.30,2022-01~2024-12
DNK,Denmark,9.40,2.80,0.80,13.00,2022-01~2024-12
NLD,Netherlands,7.80,4.90,1.10,13.80,2022-01~2024-12
SWE,Sweden,7.10,1.60,0.80,9.50,2022-01~2024-12
CAN,Canada,5.20,3.10,0.70,9.00,2022-01~2024-12
FRA,France,3.90,2.80,0.60,7.30,2022-01~2024-12
POL,Poland,6.10,2.40,1.10,9.60,2022-01~2024-12
JPN,Japan,0.10,9.80,0.40,10.30,2022-01~2024-12
KOR,South Korea,0.00,2.50,0.30,2.80,2022-01~2024-12
AUS,Australia,0.80,0.90,0.20,1.90,2022-01~2024-12
CZE,Czech Republic,2.80,0.60,0.40,3.80,2022-01~2024-12
EST,Estonia,1.80,0.20,0.10,2.10,2022-01~2024-12
LVA,Latvia,1.20,0.20,0.10,1.50,2022-01~2024-12
LTU,Lithuania,1.10,0.30,0.10,1.50,2022-01~2024-12
FIN,Finland,1.60,0.80,0.30,2.70,2022-01~2024-12
BEL,Belgium,1.10,0.50,0.20,1.80,2022-01~2024-12
ITA,Italy,0.90,0.60,0.30,1.80,2022-01~2024-12
ESP,Spain,0.70,0.50,0.20,1.40,2022-01~2024-12
# EU institutions (separate from member states)
EUI,EU Institutions,11.20,88.50,2.40,102.10,2022-01~2024-12
