# SIPRI Arms Transfers Database (sipri.org/databases/armstransfers)
# Source: SIPRI TIV (Trend Indicator Value) database, 2020-2024
# tiv_mn = SIPRI TIV (백만 달러 환산 무기 이전량, 실제 금액 아닌 표준화 지수)
# weapon_category: aircraft/missile/armoured_vehicle/naval/air_defence/other
supplier_iso3,supplier_name,recipient_iso3,recipient_name,year,tiv_mn,weapon_category,notes
USA,United States,ISR,Israel,2022,1040.0,aircraft,"F-35A, F-15EX"
USA,United States,ISR,Israel,2023,890.0,missile,"JDAM precision kits, MLRS"
USA,United States,ISR,Israel,2024,450.0,missile,"Pause partial - JDAM"
USA,United States,TWN,Taiwan,2022,440.0,missile,"HIMARS, Harpoon"
USA,United States,TWN,Taiwan,2023,680.0,missile,"Patriot PAC-3, HARM"
USA,United States,TWN,Taiwan,2024,500.0,armoured_vehicle,"M1A2 Abrams (approved)"
USA,United States,UKR,Ukraine,2022,3200.0,missile,"HIMARS, Javelin, Stinger"
USA,United States,UKR,Ukraine,2023,4100.0,missile,"ATACMS, Abrams (approved)"
USA,United States,UKR,Ukraine,2024,2800.0,missile,"F-16 support, cluster munitions"
USA,United States,KOR,South Korea,2022,520.0,aircraft,"F-35A deliveries"
USA,United States,JPN,Japan,2022,780.0,missile,"Tomahawk approved, Patriot"
USA,United States,JPN,Japan,2023,1200.0,missile,"Tomahawk 400발 계약"
USA,United States,SAU,Saudi Arabia,2022,1100.0,missile,"Patriot interceptors"
USA,United States,SAU,Saudi Arabia,2023,890.0,missile,"JDAM, F-15SA upgrades"
USA,United States,POL,Poland,2022,1800.0,armoured_vehicle,"M1A2 Abrams, HIMARS"
USA,United States,POL,Poland,2023,2100.0,armoured_vehicle,"M1A2 SEP v3, FA-50"
RUS,Russia,IRN,Iran,2022,180.0,air_defence,"S-300 spares, Shahed drone tech transfer"
RUS,Russia,IRN,Iran,2023,120.0,other,"무기 거래 제재 우회 경로"
RUS,Russia,IND,India,2022,2100.0,aircraft,"Su-30MKI spares, S-400 deliveries"
RUS,Russia,IND,India,2023,890.0,aircraft,"부품 공급망 제재 영향"
RUS,Russia,CHN,China,2022,560.0,aircraft,"Su-35 엔진 공급"
CHN,China,PAK,Pakistan,2022,780.0,aircraft,"J-10CE, JF-17 Block III"
CHN,China,PAK,Pakistan,2023,650.0,naval,"Type 054AP 호위함 2척"
CHN,China,BGD,Bangladesh,2022,210.0,aircraft,"C-802 미사일, MBT-2000"
CHN,China,SAU,Saudi Arabia,2023,340.0,missile,"CH-4 드론, Wing Loong II"
CHN,China,IRN,Iran,2022,90.0,other,"이중용도 부품 (제재 우회)"
CHN,China,RUS,Russia,2023,450.0,other,"드론 부품, 반도체 우회 공급"
FRA,France,GRC,Greece,2022,820.0,aircraft,"Rafale 18대"
FRA,France,ARE,UAE,2022,2000.0,aircraft,"Rafale 80대 계약"
FRA,France,IND,India,2022,340.0,aircraft,"Rafale MQ 추가 계약"
GBR,United Kingdom,UKR,Ukraine,2022,480.0,missile,"Brimstone, NLAW"
GBR,United Kingdom,UKR,Ukraine,2023,560.0,missile,"Storm Shadow 순항미사일"
DEU,Germany,UKR,Ukraine,2022,890.0,armoured_vehicle,"Leopard 1A5, PzH 2000"
DEU,Germany,UKR,Ukraine,2023,1200.0,armoured_vehicle,"Leopard 2A6, IRIS-T SLM"
KOR,South Korea,POL,Poland,2022,2100.0,armoured_vehicle,"K2 흑표 180대, K9 천둥 212문"
KOR,South Korea,POL,Poland,2023,890.0,aircraft,"FA-50 12대"
KOR,South Korea,AUS,Australia,2022,340.0,armoured_vehicle,"K9 자주포 30문"
