"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2021,"Import",5,4.642
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2022,"Export",6,0
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2022,"Import",5,4.098
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2023,"Export",6,0
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2023,"Import",5,5.615
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2024,"Export",6,0
"H4","SAU","8542","Saudi Arabia","QAT","Qatar",2024,"Import",5,3.539
"H4","SAU","8542","Saudi Arabia","RUS","Russian Federation",2020,"Import",5,29.889
"H4","SAU","8542","Saudi Arabia","RUS","Russian Federation",2021,"Import",5,2.571
"H4","SAU","8542","Saudi Arabia","RUS","Russian Federation",2022,"Export",6,0
"H4","SAU","8542","Saudi Arabia","RUS","Russian Federation",2022,"Import",5,0.409
"H4","SAU","8542","Saudi Arabia","RUS","Russian Federation",2023,"Import",5,7.712
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2020,"Export",6,0.4
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2020,"Import",5,70.423
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2021,"Import",5,5.261
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2022,"Export",6,0
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2022,"Import",5,57.345
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2023,"Import",5,808.062
"H4","SAU","8542","Saudi Arabia","TUR","Turkey",2024,"Import",5,858.008
"H4","SAU","8542","Saudi Arabia","USA","United States",2020,"Export",6,1628.406
"H4","SAU","8542","Saudi Arabia","USA","United States",2020,"Import",5,8978.735
"H4","SAU","8542","Saudi Arabia","USA","United States",2021,"Export",6,205.475
"H4","SAU","8542","Saudi Arabia","USA","United States",2021,"Import",5,9867.647
"H4","SAU","8542","Saudi Arabia","USA","United States",2022,"Export",6,0
"H4","SAU","8542","Saudi Arabia","USA","United States",2022,"Import",5,10014.859
"H4","SAU","8542","Saudi Arabia","USA","United States",2023,"Export",6,0
"H4","SAU","8542","Saudi Arabia","USA","United States",2023,"Import",5,17425.31
"H4","SAU","8542","Saudi Arabia","USA","United States",2024,"Export",6,0
"H4","SAU","8542","Saudi Arabia","USA","United States",2024,"Import",5,24666.286
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2020,"Export",6,26.122
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2020,"Import",5,1728.947
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2021,"Export",6,4.636
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2021,"Import",5,1567.401
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2022,"Export",6,0.763
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2022,"Import",5,376.993
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2023,"Export",6,0.105
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2023,"Import",5,27.243
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2024,"Export",6,1623.978
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2024,"Import",5,450.717
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2025,"Export",6,4278.18
"H4","TUR","26","Turkey","ARE","United Arab Emirates",2025,"Import",5,209.482
"H4","TUR","26","Turkey","AUS","Australia",2020,"Export",6,479.824
"H4","TUR","26","Turkey","AUS","Australia",2020,"Import",5,777.146
"H4","TUR","26","Turkey","AUS","Australia",2021,"Export",6,6808.539
"H4","TUR","26","Turkey","AUS","Australia",2021,"Import",5,1216.988
"H4","TUR","26","Turkey","AUS","Australia",2022,"Export",6,14985.934
"H4","TUR","26","Turkey","AUS","Australia",2022,"Import",5,19183.028
"H4","TUR","26","Turkey","AUS","Australia",2023,"Export",6,0.509
"H4","TUR","26","Turkey","AUS","Australia",2023,"Import",5,43.146
"H4","TUR","26","Turkey","AUS","Australia",2024,"Export",6,1824.184
"H4","TUR","26","Turkey","AUS","Australia",2024,"Import",5,13416.463
"H4","TUR","26","Turkey","AUS","Australia",2025,"Export",6,6.461
"H4","TUR","26","Turkey","AUS","Australia",2025,"Import",5,14596.103
"H4","TUR","26","Turkey","CHN","China",2020,"Export",6,640674.679
"H4","TUR","26","Turkey","CHN","China",2020,"Import",5,12785.149
"H4","TUR","26","Turkey","CHN","China",2021,"Export",6,884144.165
"H4","TUR","26","Turkey","CHN","China",2021,"Import",5,15517.041
"H4","TUR","26","Turkey","CHN","China",2022,"Export",6,875712.719
"H4","TUR","26","Turkey","CHN","China",2022,"Import",5,33811.644
"H4","TUR","26","Turkey","CHN","China",2023,"Export",6,1086150.736
"H4","TUR","26","Turkey","CHN","China",2023,"Import",5,18243.108
"H4","TUR","26","Turkey","CHN","China",2024,"Export",6,1177333.095
"H4","TUR","26","Turkey","CHN","China",2024,"Import",5,45484.474
"H4","TUR","26","Turkey","CHN","China",2025,"Export",6,1081874.791
"H4","TUR","26","Turkey","CHN","China",2025,"Import",5,26291.14
"H4","TUR","26","Turkey","DEU","Germany",2020,"Export",6,12280.193
"H4","TUR","26","Turkey","DEU","Germany",2020,"Import",5,21.782
"H4","TUR","26","Turkey","DEU","Germany",2021,"Export",6,40105.777
"H4","TUR","26","Turkey","DEU","Germany",2021,"Import",5,648.894
"H4","TUR","26","Turkey","DEU","Germany",2022,"Export",6,52711.464
"H4","TUR","26","Turkey","DEU","Germany",2022,"Import",5,366.906
"H4","TUR","26","Turkey","DEU","Germany",2023,"Export",6,20165.539
"H4","TUR","26","Turkey","DEU","Germany",2023,"Import",5,261.133
"H4","TUR","26","Turkey","DEU","Germany",2024,"Export",6,22158.762
"H4","TUR","26","Turkey","DEU","Germany",2024,"Import",5,90.126
"H4","TUR","26","Turkey","DEU","Germany",2025,"Export",6,22486.881
"H4","TUR","26","Turkey","DEU","Germany",2025,"Import",5,517.594
"H4","TUR","26","Turkey","IND","India",2020,"Export",6,5673.642
"H4","TUR","26","Turkey","IND","India",2020,"Import",5,1100.625
"H4","TUR","26","Turkey","IND","India",2021,"Export",6,1496.137
